바디짐헬스,"서울특별시 노원구 노원로 449, 5층 (상계동)"
월드헬스클럽,서울특별시 성북구 돌곶이로25길 76  (장위동)
타라휘트니스클럽,타라휘트니스클럽
강서구민올림픽체육센터,서울특별시 강서구 화곡로65길 62  (등촌동)
성은헬스,"서울특별시 서대문구 증가로 246 (북가좌동, 성은빌딩)"
디딤휘트니스,"서울특별시 은평구 갈현로 82, 4층 (역촌동)"
장교 휘트니스 센터,장교 휘트니스 센터
동대문종합사회복지관(체력단련장업),"서울특별시 동대문구 약령시로5길 22 (제기동,5층)"
골드짐24시(71),"서울특별시 강남구 테헤란로43길 17, 4층 (역삼동)"
암사점 스포애니 (주)케이디스포츠,"서울특별시 강동구 상암로 41 (암사동, 암사동양덱스빌)"
스타짐,"서울특별시 강서구 월정로30길 55, 2층 (화곡동, 태영빌딩)"
화인헬스,서울특별시 광진구 자양로 173  (구의동)
아이언휘트니스2호점,"서울특별시 도봉구 도봉로180나길 56, 3층 (도봉동)"
그린짐,서울특별시 서초구 효령로 36  (방배동)
세종 남여헬스(무단폐업),"서울특별시 광진구 구의로 6 (구의동, 신호빌딩)"
레몬핏휘트니스,"서울특별시 노원구 동일로 1673 (상계동,5층)"
에브리데이짐,서울특별시 동작구 상도로 179 (상도동)
신협헬스장,서울특별시 금천구 독산로 281  (독산동)
부르스타짐 공릉점,서울특별시 노원구 동일로180길 14 (공릉동)
핏오짐 fitohGym,"서울특별시 도봉구 노해로65길 14-3, 4층 (창동)"
국제 헬스,서울특별시 동작구 등용로4길 148 (노량진동)
흥봉헬스클럽,"서울특별시 노원구 한글비석로44길 31  (상계동,3층)"
미진헬스크럽,서울특별시 금천구 독산로 56  (시흥동)
삼성헬스프라자,서울특별시 강서구 곰달래로 236 (화곡동)
시티짐 군자,"서울특별시 광진구 군자로 75 (군자동, 지장빌딩)"
개선남여피아,서울특별시 은평구 통일로69길 9 (대조동)
스타일휘트니스클럽(무단폐업),서울특별시 광진구 용마산로 120 (중곡동)
골든짐 석촌점,서울특별시 송파구 가락로 94 (석촌동)
중앙신협휘트니스클럽,중앙신협휘트니스클럽
라이프 헬스 클럽,라이프 헬스 클럽
FIT360°,"서울특별시 마포구 성미산로 112, 2층 (연남동)"
웰니스짐,"서울특별시 용산구 회나무로26길 12 (이태원동, 삼원휘트니스)"
스포힐 휘트니스,"서울특별시 강동구 명일로 243 (길동, 서울시산림조합빌딩)"
우성헬스 2,"서울특별시 서초구 서초중앙로 72  (서초동,지하1층)"
헬스뱅크,"서울특별시 서대문구 간호대로 35, 지하1층 (홍제동)"
라인핏 거여점,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 707, 708호 (거여동)"
비엠헬스장,"서울특별시 동작구 동작대로 59, 지하2층 (사당동)"
올림픽헬스교실,서울특별시 송파구 올림픽로 424 (방이동)
푸쉬앤풀휘트니스,서울특별시 종로구 새문안로 38 (신문로2가)
제임스짐(100),서울특별시 강남구 테헤란로87길 36 (삼성동)
국가대표 소유창 휘트니스,"서울특별시 서초구 강남대로 617 (잠원동, 대양빌딩 4/5/6층)"
삼성골드헬스,"서울특별시 서대문구 증가로 191 (남가좌동, 삼성아파트)"
제임스짐JS점,"서울특별시 송파구 올림픽로4길 48, 지하1층 (잠실동)"
웰씨짐,서울특별시 강남구 선릉로63길 9 (역삼동)
바나나휘트니스,"서울특별시 서대문구 가좌로 84, 4층 (홍은동)"
에스엠 휘트니스,"서울특별시 관악구 남부순환로 1479 (신림동,3층)"
라인업 휘트니스 클럽,"서울특별시 노원구 중계로 205 (중계동,동진빌딩 401)"
활로 피트 매니지먼트,"서울특별시 서초구 효령로 336 (서초동,지하1층)"
한전아트센터스포츠클럽,서울특별시 서초구 효령로72길 60 (서초동)
바디메이트 짐,"서울특별시 광진구 용마산로 10, 4층 (중곡동, 대붕빌딩)"
동방헬스,"서울특별시 광진구 면목로17길 40, 2층 203호 (중곡동, 동방프라자)"
워너비짐 개봉점,"서울특별시 구로구 고척로27길 107 (개봉동,3층)"
빅토리헬스크럽,"서울특별시 노원구 한글비석로 411 (상계동,문정빌딩 4층)"
박흥래남.여헬스,"서울특별시 노원구 덕릉로 781 (상계동,6층)"
정락신용협동조합,서울특별시 송파구 동남로4길 10 (문정동)
코리아휘트니스,서울특별시 영등포구 영등포로72길 5 (신길동)
럭키 헬스,"서울특별시 중랑구 중랑역로 51, 5층 (중화동)"
동남헬스클럽,동남헬스클럽
남문헬스클럽,남문헬스클럽
엠투헬스클럽(70),서울특별시 강남구 논현로 626  (논현동)
목동스포츠센터,"서울특별시 양천구 목동서로 130  (목동,목동(아)4단지내)"
미스.미스터헬스크럽,"서울특별시 노원구 화랑로 353 (월계동,3층)"
선린남여헬스클럽,서울특별시 강동구 양재대로 1371 (성내동)
리얼바디짐 오류점,"서울특별시 구로구 경인로 176, 3층  301~304 및 306호 (오류동, 시티월드)"
바디짐헬스,"서울특별시 은평구 연서로 213, 성보빌딩 (갈현동)"
윔블던 휘트니스,서울특별시 양천구 중앙로 237 (신정동)
골드스포츠,골드스포츠
서문석헬스GYM,서울특별시 양천구 오목로 233 (신정동)
아메리칸휘트니스,서울특별시 금천구 독산로 347  (독산동)
JC헬스,"서울특별시 서대문구 명물길 16, 3,4층 (창천동)"
코아텔휘트니스클럽,"서울특별시 서초구 강남대로53길 11  (서초동,지하2층)"
